activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2024,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163551100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,2,1,2,1,2,75000.0,15.91,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,445000,1,1,3,5,1,NA,100,20%-<30%,8,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,6,,,,,3,,,,5347,11.39,77800,238,1790,1891,65
2024,B4TYDEB6GKMZO031MB27,47664,MI,26125,26125194000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,0,2,1,1,1,2,1,2,235000.0,49.9,9.865,1.725,2,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,465000,1,1,3,5,1,NA,115,40,8,10,2,,,,,5,,,,,2,4,2,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,6,,,,,10,,,,5739,56.16,109700,112,1097,1616,36
2024,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163565302,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,3,0,2,1,2,1,2,1,2,75000.0,61.2,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,115000,1,1,3,5,1,NA,83,<20%,8,10,14,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,Yes,NA,1,1,6,,,,,4,,,,4478,57.93,77800,96,907,621,37
2024,B4TYDEB6GKMZO031MB27,24340,MI,26081,26081003300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,4,0,2,1,4,1,2,1,2,35000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,NA,1,1,3,5,1,NA,52,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,No,NA,1,1,6,,,,,10,,,,3647,32.55,97600,100,874,1242,0
2024,B4TYDEB6GKMZO031MB27,47664,MI,26125,26125156000,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,4,0,2,1,2,2,2,1,2,25000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,NA,1,1,3,5,1,NA,30,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,1,1,6,,,,,10,,,,2710,19.89,109700,133,923,1021,51
2024,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163550400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,2,1,2,1,2,155000.0,57.92,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,255000,1,1,3,5,1,NA,94,42,8,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,6,,,,,3,,,,1648,13.59,77800,196,539,761,0
2024,B4TYDEB6GKMZO031MB27,99999,MI,26091,26091062100,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,2,2,2,1,2,55000.0,45.71,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,285000,1,1,3,5,1,NA,110,42,8,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,35-44,No,No,1,1,6,,,,,3,,,,4235,8.6,78300,125,1443,1728,74
2024,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163509000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,0,2,1,1,1,2,2,2,85000.0,89.02,7.625,0.401,2,0.00,NA,0.00,,24.30,300,NA,NA,2,2,2,2,95000,1,1,3,5,1,NA,39,47,9,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,1,1,7,,,,,10,,,,1975,88.71,77800,0,429,1425,76
2024,B4TYDEB6GKMZO031MB27,99999,MI,26059,26059050200,C,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Female,3,0,2,1,32,1,2,2,2,85000.0,49.72,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,175000,2,1,1,1,1,NA,25,43,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,65-74,9999,Yes,NA,1,1,7,,,,,4,5,,,3016,7.69,78300,93,1045,1414,39
2024,B4TYDEB6GKMZO031MB27,47664,MI,26099,26099258200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,3,2,1,1,1,2,2,2,145000.0,97,5.875,-1.196,2,1432.71,NA,723.35,5741.60,,360,NA,NA,2,2,2,2,145000,1,1,3,5,1,NA,50,39,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,<25,9999,No,NA,1,1,2,,,,,10,,,,3064,48.34,109700,61,702,1017,65
